Protein,INT_M.1,INT_M.2,POS_M.1,POS_M.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
Q8C3X8,13.69403135,13.69544581,14.53630793,13.9076418,0.375263895,-0.527236288,-0.527236288,0.375263895,0.997566344
Q8C5P7,15.47706423,16.14829419,16.21662134,16.12028062,0.559225483,-0.355771773,-0.355771773,0.559225483,0.997566344
Q8C5W0,13.8558418,14.27823164,15.82252104,15.32941095,0.034942373,-1.508929276,-1.508929276,0.034942373,0.988262249
Q8C5Y0;L7N216;Q80ZT2;K7N6W5;K7N6S8;A0A0G2JFY7;K7N6A0;G3UXD1;A0A0G2JFD5;A0A0G2JGJ6,17.51922159,16.90512842,17.48329621,17.38169503,0.567671703,-0.220320613,-0.220320613,0.567671703,0.997566344
Q8C650,14.33546381,14.22749049,14.30287554,14.41093673,0.866007821,-0.075428979,-0.075428979,0.866007821,0.997566344
Q8C7X2,15.38215116,15.64627743,15.02384097,14.84485285,0.402741718,0.579867386,0.579867386,0.402741718,0.997566344
Q8C838,15.25660477,15.41233289,15.92606825,14.94314395,0.900806714,-0.100137267,-0.100137267,0.900806714,0.997566344
Q8C878,14.39653789,14.59193135,13.96036401,13.86747181,0.53296735,0.580316711,0.580316711,0.53296735,0.997566344
Q8C8R3,15.89926569,15.70714348,15.13451247,14.57203468,0.22232057,0.949931006,0.949931006,0.22232057,0.988262249
Q8C8R3;G5E8K5,15.45718847,15.39063921,15.01872179,14.80004042,0.505328832,0.514532736,0.514532736,0.505328832,0.997566344
Q8C8U0,13.37860154,13.69580352,14.53998424,14.32491032,0.258945272,-0.895244753,-0.895244753,0.258945272,0.996315489
Q8CAQ8,16.73705693,16.98729253,15.90373626,15.63657121,0.19084474,1.092020995,1.092020995,0.19084474,0.988262249
Q8CAY6;Q80X81,12.60752939,13.29547427,12.68302501,12.23150421,0.583569609,0.494237217,0.494237217,0.583569609,0.997566344
Q8CBA2,13.04772037,13.38869003,13.76787408,13.05750104,0.835011979,-0.194482364,-0.194482364,0.835011979,0.997566344
Q8CBD1,15.08127537,15.14521571,14.61677855,15.48224075,0.937684338,0.063735893,0.063735893,0.937684338,0.997566344
Q8CBW3,15.14382163,15.46719158,15.5863707,15.20625127,0.897905912,-0.090804377,-0.090804377,0.897905912,0.997566344
Q8CBY8,14.36486019,14.25613268,14.52646265,14.31769955,0.881831547,-0.111584664,-0.111584664,0.881831547,0.997566344
Q8CC88,16.21265936,16.30901105,14.96456442,15.02410882,0.142042597,1.266498583,1.266498583,0.142042597,0.988262249
Q8CCF0,14.86249207,14.67854512,14.4472124,14.70449809,0.850111244,0.194663354,0.194663354,0.850111244,0.997566344
Q8CCN5,15.23405072,15.14237344,14.93651452,14.64002242,0.507721347,0.399943607,0.399943607,0.507721347,0.997566344
Q8CDG3,14.48940897,14.31833097,14.96898172,14.58255365,0.563619712,-0.371897719,-0.371897719,0.563619712,0.997566344
Q8CDK2,17.22449164,16.9385918,16.71437969,16.48339069,0.646335784,0.482656528,0.482656528,0.646335784,0.997566344
Q8CES0,15.25565563,15.16514254,14.90918994,14.69310576,0.562769942,0.409251235,0.409251235,0.562769942,0.997566344
Q8CFE4,14.91517914,14.8054416,14.30499295,14.44203634,0.554033852,0.486795726,0.486795726,0.554033852,0.997566344
Q8CFH6,15.27335853,15.68335105,15.47861164,15.15165083,0.731811761,0.163223551,0.163223551,0.731811761,0.997566344
