"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009295","GO:0009295","nucleoid","4/93","68/31010",5.32970881085404e-05,0.000506322337031134,0.000361157899682872,"Q8BFR5/Q6PB66/P53395/P38647",4
"GO:0042645","GO:0042645","mitochondrial nucleoid","4/93","68/31010",5.32970881085404e-05,0.000506322337031134,0.000361157899682872,"Q8BFR5/Q6PB66/P53395/P38647",4
"GO:0000314","GO:0000314","organellar small ribosomal subunit","3/93","43/31010",0.000295413382660649,0.00249460189802326,0.00177939055052906,"Q61733/Q8BJZ4/Q9D7N3",3
"GO:0005763","GO:0005763","mitochondrial small ribosomal subunit","3/93","43/31010",0.000295413382660649,0.00249460189802326,0.00177939055052906,"Q61733/Q8BJZ4/Q9D7N3",3
"GO:0098573","GO:0098573","intrinsic component of mitochondrial membrane","4/93","116/31010",0.000419930997219734,0.00335944797775787,0.00239628214479959,"Q78IK4/Q8VEM8/Q80U63/P63030",4
"GO:0045239","GO:0045239","tricarboxylic acid cycle enzyme complex","2/93","18/31010",0.00131943178174278,0.0100276815412451,0.0071527091326056,"Q60597/Q9Z2I8",2
"GO:0031305","GO:0031305","integral component of mitochondrial inner membrane","3/93","73/31010",0.0013952037697557,0.0100986177620413,0.00720330768345048,"Q78IK4/Q8VEM8/P63030",3
"GO:0031304","GO:0031304","intrinsic component of mitochondrial inner membrane","3/93","75/31010",0.00150821500951792,0.0104203946112147,0.00743282995121273,"Q78IK4/Q8VEM8/P63030",3
"GO:0016323","GO:0016323","basolateral plasma membrane","6/93","461/31010",0.00268123718620905,0.0177194805349467,0.0126392416558138,"O88343/P53986/Q8C8R3/Q811D0/P48193/P39447",6
"GO:0000313","GO:0000313","organellar ribosome","3/93","112/31010",0.00470058900462311,0.0281692102956505,0.020092996263518,"Q61733/Q8BJZ4/Q9D7N3",3
"GO:0005761","GO:0005761","mitochondrial ribosome","3/93","112/31010",0.00470058900462311,0.0281692102956505,0.020092996263518,"Q61733/Q8BJZ4/Q9D7N3",3
"GO:0032592","GO:0032592","integral component of mitochondrial membrane","3/93","113/31010",0.0048184175505718,0.0281692102956505,0.020092996263518,"Q78IK4/Q8VEM8/P63030",3
"GO:0033017","GO:0033017","sarcoplasmic reticulum membrane","2/93","38/31010",0.00583091849221445,0.0328259115117258,0.0234146044716604,"Q9Z329/P70302",2
"GO:0015935","GO:0015935","small ribosomal subunit","3/93","128/31010",0.00680267739961123,0.0369288201693181,0.0263411944421036,"Q61733/Q8BJZ4/Q9D7N3",3
"GO:0005758","GO:0005758","mitochondrial intermembrane space","3/93","130/31010",0.00709864609904976,0.0372066967950194,0.0265394028385526,"Q9Z0X1/Q91VD9/Q8BGX2",3
"GO:0010494","GO:0010494","cytoplasmic stress granule","3/93","148/31010",0.010106911690777,0.0495564702257454,0.0353484517538211,"Q9CQB2/P97855/Q60865",3
"GO:0031970","GO:0031970","organelle envelope lumen","3/93","148/31010",0.010106911690777,0.0495564702257454,0.0353484517538211,"Q9Z0X1/Q91VD9/Q8BGX2",3
"GO:0005840","GO:0005840","ribosome","4/93","352/31010",0.0216422913671607,0.102800883994013,0.0733275003558405,"Q14C51/Q61733/Q8BJZ4/Q9D7N3",4
"GO:0005930","GO:0005930","axoneme","3/93","222/31010",0.0293388331357625,0.132298312676766,0.0943679100118207,"P10637/A2A5R2/Q80UG5",3
"GO:0045252","GO:0045252","oxoglutarate dehydrogenase complex","1/93","10/31010",0.0295930436250661,0.132298312676766,0.0943679100118207,"Q60597",1
"GO:0097014","GO:0097014","ciliary plasm","3/93","227/31010",0.0310452359770662,0.134825024814688,0.0961702046808367,"P10637/A2A5R2/Q80UG5",3
"GO:0097025","GO:0097025","MPP7-DLG1-LIN7 complex","1/93","11/31010",0.0325042644941911,0.137240227864362,0.0978929603187626,"Q811D0",1
"GO:0099568","GO:0099568","cytoplasmic region","4/93","420/31010",0.0378042613869292,0.147324625451087,0.105086124802368,"P10637/A2A5R2/Q80UG5/P48193",4
"GO:0097418","GO:0097418","neurofibrillary tangle","1/93","13/31010",0.0383008115038462,0.147324625451087,0.105086124802368,"P10637",1
"GO:0005777","GO:0005777","peroxisome","3/93","248/31010",0.0387696382766018,0.147324625451087,0.105086124802368,"Q2TPA8/Q8CC88/Q8BGC4",3
"GO:0042579","GO:0042579","microbody","3/93","248/31010",0.0387696382766018,0.147324625451087,0.105086124802368,"Q2TPA8/Q8CC88/Q8BGC4",3
"GO:0045240","GO:0045240","dihydrolipoyl dehydrogenase complex","1/93","14/31010",0.0411861882993471,0.148835025384091,0.106163487635466,"Q60597",1
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","4/93","435/31010",0.042097948342224,0.148835025384091,0.106163487635466,"Q9CQB2/P10637/P97855/Q60865",4
"GO:0005750","GO:0005750","mitochondrial respiratory chain complex III","1/93","15/31010",0.0440630009360795,0.148835025384091,0.106163487635466,"P99028",1
"GO:0042406","GO:0042406","extrinsic component of endoplasmic reticulum membrane","1/93","15/31010",0.0440630009360795,0.148835025384091,0.106163487635466,"Q9ER39",1
"GO:0045275","GO:0045275","respiratory chain complex III","1/93","15/31010",0.0440630009360795,0.148835025384091,0.106163487635466,"P99028",1
"GO:0046581","GO:0046581","intercellular canaliculus","1/93","16/31010",0.0469312745580489,0.149606564068814,0.106713823400886,"P39447",1
"GO:0061617","GO:0061617","MICOS complex","1/93","16/31010",0.0469312745580489,0.149606564068814,0.106713823400886,"Q78IK4",1
"GO:0005742","GO:0005742","mitochondrial outer membrane translocase complex","1/93","17/31010",0.0497910342362483,0.149606564068814,0.106713823400886,"D3YTP3",1
"GO:0005744","GO:0005744","TIM23 mitochondrial import inner membrane translocase complex","1/93","17/31010",0.0497910342362483,0.149606564068814,0.106713823400886,"Q9D880",1
"GO:0044391","GO:0044391","ribosomal subunit","3/93","279/31010",0.0517843673047045,0.149606564068814,0.106713823400886,"Q61733/Q8BJZ4/Q9D7N3",3
"GO:0043219","GO:0043219","lateral loop","1/93","18/31010",0.0526423049688663,0.149606564068814,0.106713823400886,"Q811D0",1
